race,was_frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
Black,Frisked
